ram_usage,cpu_utilization,network_bandwidth,io_bandwidth
57.62,57.48,1900.72,63311.18
50.95,30.73,1900.73,63311.89
74.28,68.01,1900.73,63311.29
81.28,35.66,1900.73,63311.37
89.5,36.45,1900.73,63311.82
87.14,69.3,1900.73,63311.87
69.75,36.24,1900.73,63312.09
54.62,47.73,1900.73,63312.11
64.67,36.2,1900.73,63312.11
80,35.68,1900.74,63312.16
79.6,50.05,1900.74,63312.21
72.18,16.12,1900.74,63312.23
55.96,82.2,1900.74,63312.3
60.71,46.2,1900.74,63312.57
82.13,46.51,1900.75,63312.94
78.99,6.61,1900.75,63313.03
65.98,78.6,1900.75,63313.24
49.45,14.34,1900.75,63313.28
41.92,54.45,1900.75,63313.29
59.25,32.42,1900.75,63313.32
45.47,74.77,1900.75,63313.64
22.36,56.02,1900.75,63313.64
56.33,6.48,1900.76,63313.94
38.41,31.07,1900.76,63846.05
40.49,44.27,1900.78,63846.41
21.71,45.72,1900.78,63846.42
40.19,53.46,1900.79,63846.58
45.66,76.07,1900.79,63846.69
48.02,63.98,1900.8,63847.14
39.41,72.4,1900.8,63847.21
38.69,74.67,1900.8,63847.58
46.94,45.09,1900.82,63847.77
64.93,76.72,1900.82,63847.78
77.7,16.49,1900.82,63847.85
74.37,62.06,1900.82,63848.1
71.41,87.68,1900.82,63848.21
66.75,81.5,1900.83,63848.24
49.27,4.54,1900.84,63848.25
56.19,33.37,1900.84,63848.31
43.59,63.9,1900.84,63848.93
62.56,59.31,1900.85,63849.16
70.42,71.03,1900.86,63849.16
87.72,32.04,1900.9,63849.32
78.39,38.92,1900.9,63849.43
91.5,21.94,1900.91,63849.62
72.12,65.52,1900.93,63849.83
79.76,10.76,1900.94,63849.88
65.06,6.97,1900.94,63849.97
76.78,78.39,1900.94,63850.1
90.29,57.35,1900.94,63850.19
67.6,77.65,1900.94,63850.19
65.4,34.61,1900.94,63850.36
76.09,31.62,1900.94,63850.39
91.79,38.36,1900.95,63850.73
87.18,22.13,1900.95,63850.75
63.32,62.59,1900.95,63850.94
77.25,64.51,1900.95,63850.94
73.39,42.05,1900.95,63851.18
79.95,75.68,1900.95,63851.19
64.34,67.64,1900.95,63851.2
51.29,42.77,1900.95,63851.39
37.81,57.12,1900.95,63851.72
63.04,53.59,1900.95,63851.89
78.61,3.43,1900.95,63851.98
58.82,27.31,1900.95,63852.04
66.02,82.47,1900.95,63852.13
67.48,70.88,1900.95,63852.14
67.55,81.09,1900.96,63852.16
77.9,13.01,1900.96,63852.18
55.48,53.12,1900.96,63852.28
43.26,47.09,1900.96,63852.35
48.07,49,1900.96,63852.48
62.69,3.74,1900.96,63852.85
52.83,44.93,1900.97,63852.98
72.31,68.4,1900.97,63852.98
56.4,83.23,1900.97,63853.02
81.05,77.25,1900.97,63853.21
61.14,6.96,1900.97,63853.42
39.02,50.63,1900.97,63853.75
58,56.89,1901.01,63854.44
45.12,53.73,1901.03,63854.7
67.31,86.25,1901.04,63855.07
66.49,51.16,1901.04,63855.2
48.72,34.48,1901.07,63855.29
26.3,8.59,1901.07,63855.35
54.62,75.63,1901.07,63855.41
63.06,70.03,1901.07,63855.52
82.46,34.42,1901.07,63855.55
84.89,52.1,1901.07,63855.9
71.14,64.84,1901.07,63856.13
80.19,53.45,1901.08,63856.21
60.69,57.25,1901.08,63856.36
56.39,16.1,1901.08,63856.39
49.1,74.89,1901.08,63856.48
35.73,5.55,1901.1,63856.58
31.24,59.19,1901.1,63856.62
26.17,23.64,1901.1,63856.64
35.76,79.52,1901.12,63856.74
57.42,16.22,1901.18,63857.02
44.95,19.26,1901.21,63857.12
64.85,45.79,1901.3,63857.12
68.3,2.42,1901.31,63857.23
57.75,77.69,1901.59,63857.89
39.57,3.99,1901.69,63857.6
41.54,68.88,1901.79,63857.72
65.68,79.41,1901.99,63857.73
57.82,65.44,1902.15,63857.78
37.47,86.14,1902.32,63858.16
21,25.16,1902.42,63858.28
40.19,68.83,1902.7,63858.28
63.22,62.77,1902.85,63858.42
87.06,76.57,1903.09,63858.42
76.85,27.55,1903.25,63858.46
91.62,46.48,1903.25,63858.6
80.57,12.45,1903.25,63858.62
68.26,70.18,1903.89,63858.64
68.92,38.38,1903.89,63859.09
81.82,29.34,1903.89,63859.14
67.08,66.07,1903.89,63859.34
55.61,84.75,1903.89,63859.41
57.78,59.31,1903.89,63859.5
45.71,16.12,1903.27,63860.03
65.68,2.25,1903.27,63860.05
74.33,50.85,1903.27,63861.07
90.83,4.98,1903.27,63861.17
88.44,68.03,1903.3,63861.43
74.99,45.54,1903.3,63861.47
56.51,29.64,1903.3,63861.55
43.58,57.42,1903.3,63861.67
55.31,36.37,1903.31,63861.75
40.95,57.29,1903.31,63861.76
42.71,32.22,1903.31,63861.79
29.96,75.34,1903.31,63861.9
51.39,50.4,1903.31,63861.93
37.82,41.09,1903.32,63862.06
37.28,20.79,1903.33,63862.18
57.5,32.28,1903.33,63862.29
40.86,44.2,1903.33,63862.48
32.23,49.98,1903.33,63862.53
37.95,19.3,1903.33,63862.54
29.43,55.69,1903.33,63862.79
43.19,45.01,1903.35,63862.9
43.08,23.16,1903.36,63862.95
47.41,44.17,1903.36,63862.99
31.49,39.81,1903.36,63864.08
36.24,17.11,1903.37,63864.51
54.05,53.22,1903.43,63864.65
38.93,5.96,1903.44,63864.78
25.1,59.63,1903.44,63864.96
46.13,11.28,1903.44,63865.17
29.23,72.51,1903.44,63865.29
49.81,22.72,1903.44,63865.62
66.24,60.38,1903.45,63865.64
68.26,45.07,1903.46,63866.2
54.26,62.84,1903.46,63866.34
59.98,78.2,1903.48,63866.52
52.79,22.14,1903.48,63866.57
39.47,34.4,1903.49,63866.69
20.91,79.62,1903.49,63866.31
63.43,19.55,1903.49,63866.83
63.63,77.19,1903.49,63866.88
84.03,58.6,1903.5,63866.89
83.79,12.97,1903.5,63867.13
72.33,5.62,1903.5,63867.31
47.99,25.71,1903.5,63867.31
59.49,47.68,1903.5,63868.13
80.51,74.92,1903.5,63868.21
67.54,36.2,1903.51,63868.22
66.31,37.24,1903.52,63868.32
69.98,5.24,1903.53,63868.33
87.55,63.52,1903.58,63868.46
80.89,47.31,1903.65,63868.48
60.61,80.43,1903.74,63868.53
65.6,53.37,1903.82,63868.58
88.96,61.09,1903.94,63868.59
78.1,66.4,1904.01,63868.67
58.68,32.82,1904.02,63868.68
80.89,18.18,1904.02,63868.82
64.58,75.94,1904.02,63869
77.01,88.56,1904.02,63869.29
56.72,79.9,1904.02,63869.58
31.74,45.91,1904.02,63869.61
55.03,23.35,1904.02,63869.66
60.46,38.16,1904.02,63869.69
67.98,12.37,1904.03,63869.92
76.74,86.06,1904.03,63870.05
82.26,74.58,1904.03,63870.17
68.55,54.85,1904.04,63870.18
47.64,67.19,1904.05,63871.21
55.99,78.33,1904.05,63871.33
40.21,42.61,1904.05,63871.36
43.82,32.67,1904.05,63871.38
30.19,55.81,1904.05,63871.69
29.54,4.52,1904.05,63872.09
43.57,15.28,1904.05,63872.62
28.94,5.87,1904.05,63872.69
51.56,85.41,1904.05,63873.07
28.97,8.63,1904.05,63873.08
32.83,39.91,1904.05,63873.17
21.44,19.06,1904.08,63873.27
35.01,24.11,1904.08,63873.28
45.4,6.1,1904.08,63873.31
34.29,16.96,1904.08,63873.74
54.05,36.99,1904.08,63873.78
55.56,32.26,1904.08,63873.88
78,74.85,1904.08,63873.89
79.01,87.19,1904.08,63874
80.11,40.26,1904.08,63874.15
72.62,61.54,1904.08,63874.16
83.95,62.7,1904.08,63874.37
70.33,36.28,1904.09,63874.4
47.37,82.94,1904.09,63847.39
59.76,40.89,1904.14,63877.89
84.04,87.83,1904.19,63887.33
64.24,12.43,1904.4,63887.82
61.62,59.6,1904.89,63888.92
49.48,12.04,1905.24,63889.68
73.06,75.04,1906.05,63890.35
85.67,72.22,1906.63,63891.95
80.14,36.94,1906.88,63892.62
74.73,64.69,1906.92,63893.34
79.61,77.96,1906.94,63894.2
61.25,3.88,1906.94,63894.31
78.31,74.04,1906.94,63895.87
69.27,88.39,1906.95,63896.42
58.88,8.24,1907,63903.54
45.14,36.6,1907.93,63903.96
35.29,4.03,1908.04,63905.04
23.82,85.48,1908.04,63906.94
26.03,16.73,1908.05,63908.24
43.62,13.12,1908.06,63908.73
52.3,32.81,1908.11,63910.69
45.67,3.06,1908.11,63912.06
29.19,14.4,1908.11,63913.09
58.67,62.22,1908.11,63913.14
64,29.17,1908.11,63914.72
56.5,31.63,1908.11,63915.02
73.32,80.31,1908.12,63915.67
66.93,40.26,1908.12,63916.05
76.61,60.46,1908.12,63916.23
61.21,78.17,1908.12,63916.68
39.78,64.93,1908.13,63917.12
54.04,68.19,1908.24,63918.43
54.81,8.95,1909.01,63919.73
50.39,2.52,1909.13,63947.39
56.59,88.26,1909.15,63921.7
45.7,12.38,1909.16,63921.94
45.23,20.05,1909.16,63921.98
52.57,11.88,1909.58,63922.31
41.2,83.78,1910.1,63923.19
34.21,36.09,1910.32,63924.24
38.64,9.93,1910.43,63925.65
46.88,43.22,1910.56,63925.31
46.41,13.08,1910.56,63926.19
58.31,38.36,1910.56,63928.13
46.88,67.39,1910.56,63929.14
58.72,49.72,1910.57,63929.15
60.19,60.09,1910.64,63984.59
66.62,34,1910.66,63984.86
90.61,75.49,1910.68,63931.02
76.98,46.35,1910.69,63931.09
80.62,88.58,1910.69,63932.64
69.98,88.16,1910.69,63932.85
54.07,30.73,1910.69,63933.02
69.6,64.27,1910.69,63933.12
55.49,82.39,1910.69,63933.12
76.93,12.68,1910.69,63933.13
67.93,24.82,1910.69,63933.15
49.73,17.51,1910.69,63933.18
50.99,7.86,1910.7,63933.38
39.78,41.64,1910.72,63934.25
40.1,18.42,1910.72,63934.3
57,7.4,1910.72,63935.48
38.64,10.01,1910.72,63935.56
40.49,86.89,1910.73,63935.61
69.82,64.49,1910.74,63935.31
55.09,42.24,1910.74,63935.91
32.98,88.38,1910.74,63936.02
43.08,81.32,1910.74,63936.22
36.85,7.75,1910.74,63936.35
39.39,68.77,1910.74,63936.42
49.07,18.47,1910.74,63936.51
62.73,70.59,1910.74,63936.8
47.74,26.23,1910.74,63936.92
64.05,17.12,1910.8,63940.73
73.91,39.01,1912.05,63943.05
61.17,62.27,1912.16,63943.85
48.87,42.02,1912.23,63944.47
57.18,31.78,1914.2,63954.52
33.03,38.61,1914.21,63956.77
57.06,71.96,1914.21,63969.28
52.99,31.3,1914.21,63969.33
67.97,3.04,1914.21,63980.36
90.31,36.5,1914.21,63986.35
81.66,68.43,1914.21,63995.92
57.4,18.23,1914.22,63995.92
38.18,77.18,1914.22,63999.32
35.65,70.52,1914.22,64001.99
32.81,35.5,1914.22,64005.29
51.87,56.37,1914.22,64005.54
50.37,69.44,1914.23,64007.55
56.83,71.37,1914.23,64009.67
51.9,44.46,1914.23,64011.75
46.39,72.3,1914.23,64012.75
57.09,28.61,1914.24,64012.76
63.01,87.02,1914.24,64013.91
78.33,46.89,1914.24,64015
62.86,49.27,1914.24,64016.06
57.51,11.69,1914.24,64016.29
65.32,44.12,1914.24,64017.19
50.73,60.96,1914.24,64018.11
40.25,3.81,1914.89,64018.65
61.3,26.26,1914.27,64019.16
69.79,24.22,1914.43,64074.36
68.11,35.02,1914.45,64074.83
49.32,47.01,1914.5,64021.19
38.59,25.73,1914.51,64021.79
38.45,61.01,1914.51,64022.11
36.75,29.1,1914.51,64022.75
51.96,69.74,1914.51,64022.9
64.15,6.47,1914.51,64023.21
64.75,33.49,1914.51,64023.32
76.92,80.14,1914.51,64023.47
56.63,48.23,1914.52,64023.54
55.03,5.83,1914.52,64023.54
38.38,82.64,1914.52,64023.74
27.29,4.71,1914.52,64023.92
37.4,54.19,1914.55,64024.54
24.89,82.42,1914.55,64024.61
59.98,52.43,1914.56,64024.62
41.12,4.23,1914.56,64024.78
42.71,60.04,1914.56,64024.79
51.08,26.43,1914.56,64024.86
38.94,15.9,1914.56,64024.88
34.06,86.78,1914.58,64025.27
24.48,44.91,1914.58,64025.36
34.58,47.9,1914.58,64025.58
68.14,27.14,1914.58,64025.65
49.34,39.6,1914.58,64025.66
73.39,67.83,1914.58,64025.9
55.45,67.43,1914.58,64040.63
58.02,19.92,1914.58,64041.1
38.53,86.43,1914.6,64041.2
60.85,5.49,1914.62,64042.21
74.64,20.51,1914.63,64044.51
90.51,22.2,1914.63,64046.99
84.35,73.77,1914.63,64048.02
62.93,21.08,1914.63,64048.02
82.78,36.74,1914.64,64049.1
64.13,37.78,1914.64,64050.3
76.18,57.88,1914.65,64051.5
90.36,66.51,1914.65,64051.5
65.39,58.33,1914.66,64052.07
53.31,51.4,1914.66,64053.57
72.1,80.02,1914.67,64054.51
47.76,69.93,1914.69,64054.52
40.48,16.36,1914.71,64055.14
46.69,30.89,1914.71,64055.56
46.74,61.24,1914.72,64055.91
68.47,81.08,1914.73,64055.93
81.45,47.04,1914.74,64056.02
71,20.65,1914.74,64056.07
74.81,9.35,1914.75,64056.08
64.8,88.69,1914.76,64056.09
74.64,50.37,1914.76,64056.12
80.18,55.66,1914.76,64056.16
92.32,46.08,1914.76,64056.35
69.62,26.23,1914.76,64056.37
90.01,86.21,1914.76,64056.39
93.6,46.02,1914.76,64056.52
88.64,37.73,1914.76,64056.69
76.06,81.73,1914.76,64056.76
59.45,69.33,1914.77,64056.93
66.8,76.79,1914.77,64057.05
65.4,55.56,1914.79,64057.16
90.4,77.14,1914.8,64057.54
84.68,75.84,1914.8,64057.54
81.98,42.58,1914.8,64057.61
72.84,57.41,1914.8,64057.64
85.8,51.16,1914.8,64057.78
65.89,32.4,1914.8,64057.79
75.35,30.72,1914.8,64057.8
52.84,82.71,1914.8,64057.82
38.06,54.68,1914.31,64058.06
23.13,55.41,1914.31,64058.25
57.88,86.84,1914.83,64058.37
38.41,66.16,1914.85,64058.58
61.53,3.01,1914.86,64059.01
50.25,23.45,1914.86,64059.38
37.51,32.12,1914.86,64059.49
60.32,9.74,1914.86,64059.52
83.92,54.75,1914.86,64059.55
69.07,18.37,1914.87,64059.56
57.48,69.09,1914.88,64059.64
61,45.47,1914.88,64059.71
57.88,79.82,1914.88,64060.28
38.28,53.26,1914.89,64060.3
46.7,52.92,1914.9,64060.44
32.89,72.6,1914.9,64060.46
21.53,42.36,1914.9,64060.56
59.16,23.14,1914.9,64060.68
49.07,29.48,1914.94,64060.73
37.84,46.21,1914.94,64060.75
45.74,27.54,1914.94,64061.32
45.5,88.49,1914.94,64061.43
35.27,46.65,1914.95,64061.46
31.93,75.98,1914.95,64061.49
39.15,76.16,1914.95,64061.57
42.73,25.64,1914.95,64061.58
40.42,47.33,1914.95,64062.38
48.88,69.71,1914.95,64062.38
49.51,56.95,1914.95,64062.41
68.2,64.77,1914.96,64062.42
61.18,62.64,1914.96,64062.53
59.34,78.61,1914.96,64062.85
63.4,45.15,1914.98,64063.02
67.25,69.6,1915,64063.06
42.45,9.08,1915,64063.24
21.37,58.78,1915,64063.27
54.35,82.41,1915,64063.5
31.02,54.26,1915.06,64063.69
56.38,83.65,1915.06,64063.69
35.46,78.9,1915.06,64063.73
33.09,49.94,1915.07,64063.85
37.05,53.06,1915.08,64064.07
71.71,81.69,1915.08,64064.16
88.53,81.77,1915.08,64064.19
94.38,37.68,1915.08,64064.22
93.1,4.62,1915.08,64064.39
76.92,55.14,1915.08,64064.39
79.48,46.33,1915.09,64064.6
74.14,80.06,1915.09,64064.66
57.56,35.59,1915.09,64064.69
39.9,83.3,1915.12,64064.83
41.43,80.56,1915.12,64065.31
42.73,59.21,1915.12,64065.34
48.3,27.89,1915.12,64065.35
41.8,59.61,1915.12,64065.52
45.53,89.02,1915.12,64065.56
35.83,28.55,1915.12,64065.57
42.7,21.9,1915.13,64065.58
46.34,20.67,1915.13,64065.59
59.59,15.91,1915.13,64065.63
52.35,87.89,1915.14,64066.37
66.25,76.12,1915.14,64066.4
47.51,17.03,1915.17,64066.4
53.33,44.65,1915.18,64066.55
77.42,68.95,1915.18,64066.85
80.34,75.11,1915.18,64066.94
67.55,83.68,1915.18,64066.95
79.59,64.4,1915.18,64067.05
75.81,62.07,1915.18,64067.11
87.46,70.67,1915.18,64067.19
68.35,2.65,1915.18,64067.24
56.82,72.76,1915.18,64067.3
40.03,47.65,1915.19,64067.87
29.45,54,1915.19,64068.1
48.16,35.27,1915.19,64068.24
54.08,89.89,1915.2,64068.32
48.85,35.48,1915.2,64068.4
46.03,54.62,1915.2,64068.4
52.47,53.18,1915.21,64068.42
37.18,2.93,1915.21,64068.65
48.17,4.59,1915.23,64068.97
45.15,84.76,1915.23,64069.12
30.22,6.03,1915.24,64069.23
49.1,21.82,1915.24,64069.38
33.41,65.56,1915.24,64069.56
29.27,76.14,1915.24,64069.6
41.9,44.37,1915.24,64069.61
32.87,45.85,1915.25,64069.65
20.94,44.11,1915.25,64069.68
23.77,17.82,1915.25,64069.86
60.33,60.09,1915.25,64070.07
60.46,88.4,1915.25,64070.08
72.41,85.36,1915.25,64070.23
67.97,70.89,1915.25,64070.31
52.48,71.96,1915.25,64070.42
28.65,11.85,1915.89,64070.45
49.72,28.72,1915.89,64072.47
26.29,41.3,1915.89,64072.51
63.97,23.35,1915.89,64072.84
55.22,27.03,1915.89,64072.85
50.46,30.53,1915.89,64072.96
57.6,43.4,1915.27,64073.04
57.68,63.26,1915.27,64073.11
41.7,56.3,1915.27,64073.47
43.18,62.37,1915.27,64073.51
60.43,64.76,1915.27,64073.58
59.79,54.02,1915.27,64073.71
60.02,55.25,1915.28,64073.79
62.79,42.02,1915.28,64073.8
57.28,34.27,1915.3,64073.83
36.09,30.93,1915.31,64074.92
35.56,31.41,1915.31,64074.95
75.71,31.22,1915.31,64074.95
58.71,72.48,1915.31,64075.1
43.15,36.87,1915.32,64075.1
34.23,74.17,1915.32,64075.13
28.17,78.58,1915.32,64075.13
35.94,58.75,1915.32,64075.14
39.91,55.26,1915.33,64075.32
43.44,11.4,1915.34,64076.05
23.05,47.49,1915.34,64076.08
23.1,6.93,1915.35,64076.14
46.09,54.41,1915.36,64076.17
37.79,49.31,1915.37,64036.82
54.77,41.2,1915.37,64036.82
62.62,48.79,1915.37,64076.5
69.12,85.98,1915.37,64076.63
57.37,19.12,1915.37,64026.91
71.77,86.48,1915.37,64026.99
73.33,67.11,1915.37,64077.02
58.28,74.66,1915.37,64077.11
67.09,27.02,1915.37,64077.33
65.22,88.73,1915.37,64077.33
65.86,53.78,1915.38,64047.4
76.92,57.65,1915.38,64047.41
60.12,67.58,1915.38,64047.44
37.65,14.73,1915.38,64047.44
32.6,25.35,1915.39,64032.98
61.27,84.68,1915.39,64077.85
55.62,3.75,1915.39,64077.96
39.06,34.2,1915.39,64077.97
70.65,62.86,1915.39,64077.98
93.3,50.06,1915.39,64078.03
69.03,64.79,1915.4,64078.03
68.72,59.64,1915.4,64078.05
44.39,18.9,1915.4,64078.06
62.06,60.45,1915.4,64078.99
60.77,14.96,1915.4,64079.31
83.72,74.19,1915.41,64079.4
60,62.45,1915.41,64079.43
69.79,66.8,1915.41,64079.57
80.91,47.96,1915.41,64079.65
76.59,12.66,1915.41,64079.67
79.91,24.75,1915.42,64079.69
81,41.75,1915.45,64079.98
92.71,64.88,1915.46,64080.21
86.18,14.52,1915.46,64080.31
81.48,84.44,1915.46,64031.36
72.54,14.49,1915.46,64031.39
49.04,35.96,1915.46,64031.44
73.11,50.76,1915.47,64031.45
55.6,88.51,1915.47,64031.45
58.58,23.17,1915.47,64031.85
76.17,33.44,1915.47,64082.01
73.47,17.79,1915.47,64082.14
71.81,89.69,1915.47,64082.18
56.88,70.56,1915.47,64082.21
80.53,78.42,1915.48,64082.24
65.14,77.12,1915.48,64082.69
77.68,69.02,1915.5,64082.96
53.95,4.11,1915.51,64083
35.8,29.6,1915.51,64083.24
62.37,63.2,1915.51,64083.24
39.72,20.43,1915.51,64083.24
29.26,26.21,1915.51,64083.25
33.09,10.76,1915.52,64083.27
36.14,11.06,1915.53,64083.38
49.5,27.75,1915.53,64083.54
45.54,20.4,1915.53,64083.93
60.44,18.34,1915.53,64083.96
55.79,25.09,1915.54,64083.99
69.98,52.16,1915.54,64084.15
68.9,33.86,1915.54,64084.15
55.26,31.67,1915.55,64084.89
31.7,16.71,1915.55,64084.31
20.48,56.38,1915.55,64084.35
37.3,77.51,1915.55,64084.41
32.91,62.62,1915.55,64084.42
25.48,67.93,1915.55,64084.46
60.89,23.82,1915.56,64084.48
50.58,15.92,1915.56,64084.76
27.34,39.15,1915.56,64084.88
22.01,4.8,1915.57,64084.91
43.17,37.57,1915.57,64085.08
39.81,32.94,1915.57,64085.09
48.98,37.35,1915.58,64095.31
29.82,2.99,1915.58,64096.8
46,81.66,1915.58,64097.11
32.37,63.15,1915.58,64097.2
43.78,25.27,1915.58,64097.24
23.47,27.3,1915.58,64097.52
30,49,1915.58,64097.56
55.75,45.63,1915.59,64097.57
51.73,14.44,1915.59,64097.58
33.82,27.76,1915.59,64097.61
55.65,85.8,1915.59,64097.86
60.11,89.74,1915.59,64097.87
53.19,83.12,1915.6,64097.97
55.52,44.98,1915.6,64098.06
45.54,30.27,1915.6,64098.09
52.96,23.09,1915.61,64098.1
68.5,9.83,1915.61,64098.28
81.58,35.44,1915.61,64098.31
60.21,59.46,1915.61,64098.36
58.63,36.89,1915.61,64098.51
73.68,42.03,1915.61,64098.31
81.89,73.86,1915.61,64098.86
87.21,18.6,1915.62,64098.87
66.5,41.97,1915.62,64098.95
45.64,70.49,1915.62,64098.95
32.72,66.43,1915.62,64099.1
41.61,19.36,1915.62,64099.23
36.97,2.02,1915.62,64099.23
41.02,15.32,1915.62,64099.24
37.4,33.72,1915.63,64099.89
20.34,57.83,1915.63,64099.29
62.7,57.55,1915.63,64099.91
52.69,17.23,1915.63,64099.98
65.87,21.51,1915.66,64100.11
42.2,41.53,1915.66,64100.15
37.07,40.36,1915.66,64100.17
52.75,79.52,1915.66,64100.17
57.39,17.48,1915.66,64100.18
41.14,27.72,1915.66,64100.2
25.05,5.55,1915.67,64100.48
34.71,46.32,1915.67,64100.49
35.88,71.01,1915.68,64100.53
59.52,77.23,1915.69,64101.34
64.58,46.88,1915.69,64101.56
62.76,77.71,1915.69,64101.71
72.47,27.39,1915.69,64101.76
49.46,33.72,1915.69,64101.83
59.87,62.57,1915.7,64101.85
66.71,65.25,1915.7,64101.85
43.96,2.17,1915.71,64101.96
48.25,47.77,1915.71,64101.99
63.98,63.36,1915.71,64102.31
73.89,62.66,1915.71,64102.31
89.78,80.15,1915.72,64102.37
86.15,53.46,1915.72,64102.71
76.84,61.45,1915.73,64102.72
76.4,77.66,1915.73,64102.79
74.37,73.16,1915.73,64108.17
91.53,15.34,1915.73,64108.93
83.73,87.51,1915.74,64110.22
61.24,60.3,1915.74,64110.31
78.51,84.54,1915.74,64110.55
79.87,74.95,1915.74,64110.7
60.96,61.97,1915.74,64110.76
81.49,39.01,1915.74,64110.93
63.23,31.78,1915.75,64110.95
64.93,76.64,1915.75,64111
59.45,11.71,1915.75,64111.13
80.19,84.92,1915.75,64111.45
71.61,11.54,1915.75,64111.55
89.51,23.99,1915.75,64111.63
76.1,41.32,1915.75,64111.77
94.34,52.46,1915.75,64111.97
94.42,45.63,1915.75,64112.01
75.76,75.08,1915.75,64112.02
86.81,60.21,1915.75,64112.05
77.42,80.78,1915.76,64112.05
67.81,85.61,1915.76,64113.12
55.04,71.19,1915.76,64113.33
51.91,88.31,1915.76,64113.52
71.42,12.04,1915.76,64113.56
80.38,75.22,1915.76,64113.62
56.55,48.61,1915.76,64113.62
71.65,34.12,1915.76,64113.66
57.93,19.24,1915.76,64114.05
65.44,20.75,1915.76,64114.06
60.1,10.12,1915.76,64114.07
76.03,34.19,1915.76,64114.09
56.1,43.16,1915.76,64114.32
48.46,49.94,1915.76,64114.9
58.12,44.92,1915.77,64114.93
81.92,17.72,1915.79,64118.58
90.16,64.15,1915.79,64136.45
75.86,41.1,1915.8,64136.56
52.09,18.79,1915.8,64136.59
59.32,31.97,1915.8,64136.59
39.16,28.59,1915.8,64136.62
63.1,16.68,1915.31,64136.94
59.99,2.12,1915.82,64137.15
66.54,83.98,1915.82,64137.15
60.16,70.93,1915.83,64137.17
42.14,14.2,1915.83,64137.44
75.98,68.13,1915.83,64137.49
81.49,63.84,1915.83,64137.49
60.22,82.63,1915.83,64137.53
42.81,52.35,1915.84,64137.55
37.13,13.46,1915.84,64137.93
29.13,8.23,1915.84,64137.94
70.32,46.43,1915.86,64138.05
75.05,18.52,1915.86,64138.13
75.51,81.1,1915.86,64138.21
63.77,63.83,1915.86,64138.27
85.47,38.19,1915.87,64138.36
64.73,11.65,1915.87,64138.59
59.65,68.78,1915.87,64138.62
46.84,48.23,1915.87,64139.08
54.87,35.55,1915.89,64139.55
75.33,62.98,1915.9,64139.74
94.47,17.28,1915.91,64139.79
93.25,3.02,1915.91,64140.02
70.07,69.96,1915.91,64140.35
76.69,60.88,1915.91,64140.4
70.13,32.72,1915.91,64140.44
50.93,46.35,1915.91,64140.45
29.3,59.04,1915.91,64140.48
21.28,57.37,1915.91,64140.49
34.14,10.76,1915.94,64140.77
28.19,21.53,1915.95,64141.2
33.68,83.71,1915.95,64141.25
66.98,87.91,1915.95,64141.43
48.27,14.04,1915.95,64141.51
52.59,66.71,1915.95,64141.92
75.46,86.89,1915.95,64141.98
52.4,27.79,1915.96,64141.99
71.59,53.74,1915.98,64142.16
84.81,75.44,1916.03,64142.67
62.41,42.26,1916.04,64144.23
70.06,6.75,1916.08,64144.51
90.84,22.54,1916.11,64144.98
76.95,41.99,1916.11,64145.14
52.81,35.5,1916.11,64145.2
50.01,21.92,1916.11,64145.3
68.5,89.98,1916.11,64145.41
